sepal_length,sepal_width,petal_length,petal_width,species,sepal_ratio,petal_ratio,is_petal_long
5.1,3.5,1.4,0.2,setosa,1.457142857142857,6.999999999999999,False
4.9,3.0,1.4,0.2,setosa,1.6333333333333335,6.999999999999999,False
4.7,3.2,1.3,0.2,setosa,1.46875,6.5,False
4.6,3.1,1.5,0.2,setosa,1.4838709677419353,7.5,False
5.0,3.6,1.4,0.2,setosa,1.3888888888888888,6.999999999999999,False
5.4,3.9,1.7,0.4,setosa,1.3846153846153848,4.25,False
4.6,3.4,1.4,0.3,setosa,1.352941176470588,4.666666666666667,False
5.0,3.4,1.5,0.2,setosa,1.4705882352941178,7.5,False
4.4,2.9,1.4,0.2,setosa,1.517241379310345,6.999999999999999,False
4.9,3.1,1.5,0.1,setosa,1.5806451612903227,15.0,False
5.4,3.7,1.5,0.2,setosa,1.4594594594594594,7.5,False
4.8,3.4,1.6,0.2,setosa,1.411764705882353,8.0,False
4.8,3.0,1.4,0.1,setosa,1.5999999999999999,13.999999999999998,False
4.3,3.0,1.1,0.1,setosa,1.4333333333333333,11.0,False
5.8,4.0,1.2,0.2,setosa,1.45,5.999999999999999,False
5.7,4.4,1.5,0.4,setosa,1.2954545454545454,3.75,False
5.4,3.9,1.3,0.4,setosa,1.3846153846153848,3.25,False
5.1,3.5,1.4,0.3,setosa,1.457142857142857,4.666666666666667,False
5.7,3.8,1.7,0.3,setosa,1.5000000000000002,5.666666666666667,False
5.1,3.8,1.5,0.3,setosa,1.3421052631578947,5.0,False
5.4,3.4,1.7,0.2,setosa,1.5882352941176472,8.5,False
5.1,3.7,1.5,0.4,setosa,1.3783783783783783,3.75,False
4.6,3.6,1.0,0.2,setosa,1.2777777777777777,5.0,False
5.1,3.3,1.7,0.5,setosa,1.5454545454545454,3.4,False
4.8,3.4,1.9,0.2,setosa,1.411764705882353,9.499999999999998,False
5.0,3.0,1.6,0.2,setosa,1.6666666666666667,8.0,False
5.0,3.4,1.6,0.4,setosa,1.4705882352941178,4.0,False
5.2,3.5,1.5,0.2,setosa,1.4857142857142858,7.5,False
5.2,3.4,1.4,0.2,setosa,1.5294117647058825,6.999999999999999,False
4.7,3.2,1.6,0.2,setosa,1.46875,8.0,False
4.8,3.1,1.6,0.2,setosa,1.5483870967741935,8.0,False
5.4,3.4,1.5,0.4,setosa,1.5882352941176472,3.75,False
5.2,4.1,1.5,0.1,setosa,1.2682926829268295,15.0,False
5.5,4.2,1.4,0.2,setosa,1.3095238095238095,6.999999999999999,False
4.9,3.1,1.5,0.2,setosa,1.5806451612903227,7.5,False
5.0,3.2,1.2,0.2,setosa,1.5625,5.999999999999999,False
5.5,3.5,1.3,0.2,setosa,1.5714285714285714,6.5,False
4.9,3.6,1.4,0.1,setosa,1.3611111111111112,13.999999999999998,False
4.4,3.0,1.3,0.2,setosa,1.4666666666666668,6.5,False
5.1,3.4,1.5,0.2,setosa,1.5,7.5,False
5.0,3.5,1.3,0.3,setosa,1.4285714285714286,4.333333333333334,False
4.5,2.3,1.3,0.3,setosa,1.956521739130435,4.333333333333334,False
4.4,3.2,1.3,0.2,setosa,1.375,6.5,False
5.0,3.5,1.6,0.6,setosa,1.4285714285714286,2.666666666666667,False
5.1,3.8,1.9,0.4,setosa,1.3421052631578947,4.749999999999999,False
4.8,3.0,1.4,0.3,setosa,1.5999999999999999,4.666666666666667,False
5.1,3.8,1.6,0.2,setosa,1.3421052631578947,8.0,False
4.6,3.2,1.4,0.2,setosa,1.4374999999999998,6.999999999999999,False
5.3,3.7,1.5,0.2,setosa,1.4324324324324322,7.5,False
5.0,3.3,1.4,0.2,setosa,1.5151515151515151,6.999999999999999,False
7.0,3.2,4.7,1.4,versicolor,2.1875,3.3571428571428577,True
6.4,3.2,4.5,1.5,versicolor,2.0,3.0,True
6.9,3.1,4.9,1.5,versicolor,2.2258064516129035,3.266666666666667,True
5.5,2.3,4.0,1.3,versicolor,2.3913043478260874,3.0769230769230766,True
6.5,2.8,4.6,1.5,versicolor,2.3214285714285716,3.0666666666666664,True
5.7,2.8,4.5,1.3,versicolor,2.035714285714286,3.4615384615384612,True
6.3,3.3,4.7,1.6,versicolor,1.9090909090909092,2.9375,True
4.9,2.4,3.3,1.0,versicolor,2.041666666666667,3.3,False
6.6,2.9,4.6,1.3,versicolor,2.2758620689655173,3.538461538461538,True
5.2,2.7,3.9,1.4,versicolor,1.9259259259259258,2.785714285714286,True
5.0,2.0,3.5,1.0,versicolor,2.5,3.5,False
5.9,3.0,4.2,1.5,versicolor,1.9666666666666668,2.8000000000000003,True
6.0,2.2,4.0,1.0,versicolor,2.727272727272727,4.0,True
6.1,2.9,4.7,1.4,versicolor,2.103448275862069,3.3571428571428577,True
5.6,2.9,3.6,1.3,versicolor,1.9310344827586206,2.769230769230769,False
6.7,3.1,4.4,1.4,versicolor,2.161290322580645,3.1428571428571432,True
5.6,3.0,4.5,1.5,versicolor,1.8666666666666665,3.0,True
5.8,2.7,4.1,1.0,versicolor,2.148148148148148,4.1,True
6.2,2.2,4.5,1.5,versicolor,2.818181818181818,3.0,True
5.6,2.5,3.9,1.1,versicolor,2.2399999999999998,3.545454545454545,True
5.9,3.2,4.8,1.8,versicolor,1.84375,2.6666666666666665,True
6.1,2.8,4.0,1.3,versicolor,2.1785714285714284,3.0769230769230766,True
6.3,2.5,4.9,1.5,versicolor,2.52,3.266666666666667,True
6.1,2.8,4.7,1.2,versicolor,2.1785714285714284,3.916666666666667,True
6.4,2.9,4.3,1.3,versicolor,2.206896551724138,3.3076923076923075,True
6.6,3.0,4.4,1.4,versicolor,2.1999999999999997,3.1428571428571432,True
6.8,2.8,4.8,1.4,versicolor,2.428571428571429,3.428571428571429,True
6.7,3.0,5.0,1.7,versicolor,2.2333333333333334,2.9411764705882355,True
6.0,2.9,4.5,1.5,versicolor,2.0689655172413794,3.0,True
5.7,2.6,3.5,1.0,versicolor,2.1923076923076925,3.5,False
5.5,2.4,3.8,1.1,versicolor,2.291666666666667,3.454545454545454,True
5.5,2.4,3.7,1.0,versicolor,2.291666666666667,3.7,False
5.8,2.7,3.9,1.2,versicolor,2.148148148148148,3.25,True
6.0,2.7,5.1,1.6,versicolor,2.222222222222222,3.1874999999999996,True
5.4,3.0,4.5,1.5,versicolor,1.8,3.0,True
6.0,3.4,4.5,1.6,versicolor,1.7647058823529411,2.8125,True
6.7,3.1,4.7,1.5,versicolor,2.161290322580645,3.1333333333333333,True
6.3,2.3,4.4,1.3,versicolor,2.739130434782609,3.3846153846153846,True
5.6,3.0,4.1,1.3,versicolor,1.8666666666666665,3.1538461538461533,True
5.5,2.5,4.0,1.3,versicolor,2.2,3.0769230769230766,True
5.5,2.6,4.4,1.2,versicolor,2.1153846153846154,3.666666666666667,True
6.1,3.0,4.6,1.4,versicolor,2.033333333333333,3.2857142857142856,True
5.8,2.6,4.0,1.2,versicolor,2.230769230769231,3.3333333333333335,True
5.0,2.3,3.3,1.0,versicolor,2.173913043478261,3.3,False
5.6,2.7,4.2,1.3,versicolor,2.074074074074074,3.230769230769231,True
5.7,3.0,4.2,1.2,versicolor,1.9000000000000001,3.5000000000000004,True
5.7,2.9,4.2,1.3,versicolor,1.9655172413793105,3.230769230769231,True
6.2,2.9,4.3,1.3,versicolor,2.137931034482759,3.3076923076923075,True
5.1,2.5,3.0,1.1,versicolor,2.04,2.727272727272727,False
5.7,2.8,4.1,1.3,versicolor,2.035714285714286,3.1538461538461533,True
6.3,3.3,6.0,2.5,virginica,1.9090909090909092,2.4,True
5.8,2.7,5.1,1.9,virginica,2.148148148148148,2.6842105263157894,True
7.1,3.0,5.9,2.1,virginica,2.3666666666666667,2.8095238095238098,True
6.3,2.9,5.6,1.8,virginica,2.1724137931034484,3.1111111111111107,True
6.5,3.0,5.8,2.2,virginica,2.1666666666666665,2.6363636363636362,True
7.6,3.0,6.6,2.1,virginica,2.533333333333333,3.1428571428571423,True
4.9,2.5,4.5,1.7,virginica,1.9600000000000002,2.6470588235294117,True
7.3,2.9,6.3,1.8,virginica,2.5172413793103448,3.5,True
6.7,2.5,5.8,1.8,virginica,2.68,3.222222222222222,True
7.2,3.6,6.1,2.5,virginica,2.0,2.44,True
6.5,3.2,5.1,2.0,virginica,2.03125,2.55,True
6.4,2.7,5.3,1.9,virginica,2.3703703703703702,2.7894736842105265,True
6.8,3.0,5.5,2.1,virginica,2.2666666666666666,2.619047619047619,True
5.7,2.5,5.0,2.0,virginica,2.2800000000000002,2.5,True
5.8,2.8,5.1,2.4,virginica,2.0714285714285716,2.125,True
6.4,3.2,5.3,2.3,virginica,2.0,2.3043478260869565,True
6.5,3.0,5.5,1.8,virginica,2.1666666666666665,3.0555555555555554,True
7.7,3.8,6.7,2.2,virginica,2.0263157894736845,3.0454545454545454,True
7.7,2.6,6.9,2.3,virginica,2.9615384615384617,3.0000000000000004,True
6.0,2.2,5.0,1.5,virginica,2.727272727272727,3.3333333333333335,True
6.9,3.2,5.7,2.3,virginica,2.15625,2.4782608695652177,True
5.6,2.8,4.9,2.0,virginica,2.0,2.45,True
7.7,2.8,6.7,2.0,virginica,2.7500000000000004,3.35,True
6.3,2.7,4.9,1.8,virginica,2.333333333333333,2.7222222222222223,True
6.7,3.3,5.7,2.1,virginica,2.0303030303030303,2.7142857142857144,True
7.2,3.2,6.0,1.8,virginica,2.25,3.333333333333333,True
6.2,2.8,4.8,1.8,virginica,2.2142857142857144,2.6666666666666665,True
6.1,3.0,4.9,1.8,virginica,2.033333333333333,2.7222222222222223,True
6.4,2.8,5.6,2.1,virginica,2.285714285714286,2.6666666666666665,True
7.2,3.0,5.8,1.6,virginica,2.4,3.6249999999999996,True
7.4,2.8,6.1,1.9,virginica,2.6428571428571432,3.2105263157894735,True
7.9,3.8,6.4,2.0,virginica,2.0789473684210527,3.2,True
6.4,2.8,5.6,2.2,virginica,2.285714285714286,2.545454545454545,True
6.3,2.8,5.1,1.5,virginica,2.25,3.4,True
6.1,2.6,5.6,1.4,virginica,2.346153846153846,4.0,True
7.7,3.0,6.1,2.3,virginica,2.566666666666667,2.6521739130434785,True
6.3,3.4,5.6,2.4,virginica,1.8529411764705883,2.3333333333333335,True
6.4,3.1,5.5,1.8,virginica,2.064516129032258,3.0555555555555554,True
6.0,3.0,4.8,1.8,virginica,2.0,2.6666666666666665,True
6.9,3.1,5.4,2.1,virginica,2.2258064516129035,2.5714285714285716,True
6.7,3.1,5.6,2.4,virginica,2.161290322580645,2.3333333333333335,True
6.9,3.1,5.1,2.3,virginica,2.2258064516129035,2.217391304347826,True
5.8,2.7,5.1,1.9,virginica,2.148148148148148,2.6842105263157894,True
6.8,3.2,5.9,2.3,virginica,2.125,2.565217391304348,True
6.7,3.3,5.7,2.5,virginica,2.0303030303030303,2.2800000000000002,True
6.7,3.0,5.2,2.3,virginica,2.2333333333333334,2.2608695652173916,True
6.3,2.5,5.0,1.9,virginica,2.52,2.6315789473684212,True
6.5,3.0,5.2,2.0,virginica,2.1666666666666665,2.6,True
6.2,3.4,5.4,2.3,virginica,1.823529411764706,2.347826086956522,True
5.9,3.0,5.1,1.8,virginica,1.9666666666666668,2.833333333333333,True
